year,yearMap,name,country,cat,category2,catMap,Rationale,award,continent,,,
2004,2003,Aishwarya Rai,India,Art,1,0.2,"""Is the most recognized female face in Bollywood, as the Indian film industry.""",Times 100People,Asia,0,0,0
2005,2004,Zhang Ziyi,China,Art,1,0.2,"""She is considered one of the Four Dan Actresses of China.""",Times 100People,Asia,1,1,0
2004,2005,Nicole Kidman,Australian,Art,1,0.2,"""She is the recipient of multiple awards, including an Academy Award, two Primetime Emmy Awards, five Golden Globe Awards, and the Silver Bear """,Times 100People,Australia,2,2,0
2007,2006,Cate Blanchett,Ausralia,Art,1,0.2,"She has received international acclaim and many accolades for her work, including two Academy Awards, three Golden Globe Awards",,Australia,3,3,0
2004,2007,J.K. Rowling,England,Art,1,0.2,"""Novelist. Best known for writing Harry Poter series.""",Times 100People,Europe,4,4,0
2005,2003,Miuccia Prada,Italy,Art,1,0.4,"""Italian billionaire fashion designer and businesswoman.""",Times 100People,Europe,5,0,1
2006,2004,Arianna Huffington,Greece,Art,1,0.4,"""Was the co-founder and editor-in-chief of The Huffington Post, which is now owned by AOL.""",Times 100People,Europe,6,1,1
2006,2005,Kiki Smith,Germany,Art,1,0.4,"""Artist whose work has addressed the themes of sex, birth and regeneration.""",Times 100People,Europe,7,2,1
2006,2006,Zadie Smith,United Kingdom,Art,1,0.4,"""Is a contemporary British novelist, essayist, and short-story writer.""",Times 100People,Europe,8,3,1
2007,2007,Anna Netrebko,Russia ,Art,1,0.4,Operatic oprano,Times 100People,Europe,9,4,1
2004,2003,Katie Couric,United States,Art,1,0.6,"""American journalist and author. She recently served as Yahoo! Global News Anchor.""",Times 100People,North America,10,0,2
2005,2004,Hilary Ann Swank,United States,Art,1,0.6,"""She has won two Academy Awards for Best Actress.""",Times 100People,North America,11,1,2
2005,2005,Alicia Augello Cook,United States,Art,1,0.6,"""Known as Alicia Keys, is an American singer-songwriter, pianist and actress.""",Times 100People,North America,12,2,2
2006,2006,Ellen Lee DeGeneres,United States,Art,1,0.6,""" American comedian, television host, actress, writer, producer, and LGBT activist.""",Times 100People,North America,13,3,2
2007,2007,Tina Fey,,Art,1,0.6, Actress; comedian; writer; producer,Times 100People,North America,14,4,2
2007,2003,Nora Roberts,United States,Art,1,0.8,Romance Writer,Times 100People,North America,15,0,3
2007,2004,America Ferrera,United States,Art,1,0.8,"Ferrera is the recipient of numerous accolades including an Emmy Award, a Golden Globe Award, and a Screen Actors Guild Award among others.",Times 100People,North America,16,1,3
2007,2005,Kate Moss,United States,Art,1,0.8,"Arriving at the end of the ""supermodel era"", Moss rose to fame in the mid 1990s as part of the heroin chic fashion trend. ",Times 100People,North America,17,2,3
2007,2006,Rosie O'Donnell,United States,Art,1,0.8,Her big break was on the talent show Star Search in 1984.,Times 100People,North America,18,3,3
2015,2012,Marie Kondo,Japan,Art,1,0.15,"""Japanese organizing consultant and author.She has written four books on organizing.""",Times 100People,Asia,0,0,0
2016,2013,Guo Pei,China,Art,1,0.15,"She is best known for designing dresses for Chinese celebrities, and in America for Rihanna's trailing yellow gown at the 2015 Met Ball",Times 100People,Asia,1,1,0
2016,2014,Yayoi Kusama,Japan,Art,1,0.15,"A Japanese contemporary artist who works primarily in sculpture and installation, but is also active in painting, performance, film, fashion",Times 100People,Asia,2,2,0
2017,2015,Margot Robbie,Autralia,Art,1,0.15,"In 2017, Time magazine named her as one of the 100 most influential people in the world and Forbes featured her in their 30 Under 30 list.",Times 100People,Australia,3,3,0
2012,2016,Sarah Burton,England,Art,1,0.15,"""Is an English fashion designer, currently creative director of fashion brand Alexander McQueen.""",Times 100People,Europe,4,4,0
2013,2017,Hilary Mary Mantel,United Kingdom,Art,1,0.15,"""Is an English writer whose work includes personal memoirs, short stories, and historical fiction.""",Times 100People,Europe,5,5,0
2016,2012,Elena Ferrante,Italia,Art,1,0.35,"Italian novelist. Ferrante's books, originally published in Italian, have been translated into many languages. ",Times 100People,Europe,6,0,1
2010,2013,Lady Gaga,United States,Art,1,0.35,"""She is known for her unconventionality and provocative work as well as experimenting with new images.""",Times 100People,North America,7,1,1
2010,2014,Kathryn Ann Bigelow,United States,Art,1,0.35,"""With The Hurt Locker, Bigelow became the first, and as of 2010 the only, woman to win any of the Academy Award for Best Director""",Times 100People,North America,8,2,1
2010,2015,Suzanne Collins,United States,Art,1,0.35,"""best known as the author of The New York Times best selling series The Underland Chronicles and The Hunger Games trilogy.""",Times 100People,North America,9,3,1
2011,2016,Amy Poehler,United States,Art,1,0.35,"""Is an American actress, voice artist, comedian, director, producer, and writer. """,Times 100People,North America,10,4,1
2011,2017,Patricia Lee Smith,United States,Art,1,0.35,"""Is an American singer-songwriter, poet, and visual artist who became an influential component of the New York City punk rock movement.""",Times 100People,North America,11,5,1
2012,2012,Rihanna,Barbados,Art,1,0.55,"""In 2005, Rihanna rose to fame with the release of her debut studio album Music of the Sun.""",Times 100People,North America,12,0,2
2013,2013,Shonda Rhimes,United States,Art,1,0.55,"""Is an American television producer, screenwriter, and author. She is best known as the creator, head writer, executive producer of Grey's Anatomy.""",Times 100People,North America,13,1,2
2013,2014,Vera Mindy Chokalingam,United States,Art,1,0.55,"""Kaling is known for creating, writing, producing and starring in the Fox/Hulu sitcom The Mindy Project .""",Times 100People,North America,14,2,2
2013,2015,Jenna Lyons,United States,Art,1,0.55,"""American fashion designer and business personality. Lyons was the creative director and president for J.Crew from 2008 and 2010, respectively.""",Times 100People,North America,15,3,2
2015,2016,Jill Soloway,United States,Art,1,0.55,"""Is an American comedian, writer and director. Soloway, who identifies as nonbinary and uses they/them/singular they pronouns.""",Times 100People,North America,16,4,2
2016,2017,Ariana Grande,United States,Art,1,0.55, American singer and actress.,Times 100People,North America,17,5,2
2016,2012,Julia Louis-Dreyfus,United States,Art,1,0.75,"She is one of the most celebrated television actors of her generation, winning more Emmy Awards and more Screen Actors Guild Awards than any other performer.",Times 100People,North America,18,0,3
2017,2013,Alicia Keys,United States,Art,1,0.75,"Alicia Keys, is an American singer-songwriter, pianist and actress.",Times 100People,North America,19,1,3
2017,2014,Leslie Jones,United States,Art,1,0.75,Jones has been a featured performer at the Just for Laughs festival in Montreal and the Aspen Comedy Festival.,Times 100People,North America,20,2,3
2017,2015,Ava DuVernay,United States,Art,1,0.75,"Won the directing award in the U.S. dramatic competition at the 2012 Sundance Film Festival for her second feature film Middle of Nowhere,[1] becoming the first African-American woman to win the award.",Times 100People,North America,21,3,3
2017,2016,Sarah Paulson,United States,Art,1,0.75," She also starred in a number of independent films, and had a leading role on the ABC comedy series Cupid in 2009. ",Times 100People,North America,22,4,3
1909,1905,Selma Lagerluf,Sweden,Literature,2,1.5,"""In appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",Nobel,Europe,,,
1926,1924,Grazia Deledda,Italy,Literature,2,1.5,"""For her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and Sympathy deal with human problems in general""",Nobel,Europe,0,0,0
1928,1925,Sigrid Undset,Norway,Literature,2,1.5,"""principally for her powerful descriptions of Northern life during the Middle Ages""",Nobel,Europe,1,1,0
1938,1935,Pearl S. Buck,United States,Literature,2,1.5,"""For her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",Nobel,North America,,,
1945,1945,Gabriela Mistral,Chile,Literature,2,1.5,"""For her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",Nobel,South America,,,
1966,1965,Nelly Sachs,Sweden,Literature,2,1.5,"""For her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength""",Nobel,Europe,,,
1991,1994,Nadine Gordimer,South Africa,Literature,2,1.5,"""Who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",Nobel,Africa,0,0,0
1993,1995,Toni Morrison,United States,Literature,2,1.5,"""Who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""",Nobel,North America,1,1,0
1996,1996,Wis awa Szymborska,Poland,Literature,2,1.5,"""For poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",Nobel,Europe,2,2,0
2004,2004,Elfriede Jelinek,Austria,Literature,2,1.5,"""For her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power""",Nobel,Europe,0,0,0
2007,2005,Doris Lessing,United Kingdom,Literature,2,1.5,"""That epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""",Nobel,Europe,1,1,0
2009,2006,Herta Muller,Germany,Literature,2,1.5,"""Who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""",Nobel,Europe,2,2,0
2012,2013,Erika Mitchell,England,Literature,2,1.5,"""She wrote the bestselling erotic romance trilogy Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed.""",Times 100People,Europe,0,0,0
2015,2014,Svetlana Alexievich,Belarus,Literature,2,1.5,"""For her polyphonic writings, a monument to suffering and courage in our time""",Nobel,Europe,1,1,0
2011,2015,Jennifer Egan,United States,Literature,2,1.5,"""Is an American novelist and short story writer who lives in Clinton Hill, Brooklyn. Egan's novel A Visit from the Goon Squad won the 2011 Pulitzer Prize for Fiction.""",Times 100People,North America,2,2,0
2012,2016,Ann Patchett,United States,Literature,2,1.5,"""She received the 2002 PEN/Faulkner Award and the Orange Prize for Fiction in the same year, for her novel Bel Canto.""",Times 100People,North America,3,3,0
2013,2017,Alice Munro,Canada,Literature,2,1.5,"""Master of the contemporary short story""",Nobel,North America,4,4,0
1947,1945,Gerty Theresa Cori,United States,Medicine,3,2.5,"""For their discovery of the course of the catalytic conversion of glycogen""",Nobel,North America,,,
1977,1975,Rosalyn Sussman Yalow,United States,Medicine,3,2.5,"""For the development of radioimmunoassaysof peptide hormones""",Nobel,North America,,,
1983,1984,Barbara McClintock,United States,Medicine,3,2.5,"""For her discovery of mobile genetic elements""",Nobel,Europe,0,0,0
1986,1985,Rita Levi-Montalcini,Italy,Medicine,3,2.5,"""For their discoveries of growth factors""",Nobel,North America,1,1,0
1988,1986,Gertrude B. Elion,United States,Medicine,3,2.5,"""For their discoveries of important principles for drug treatment""",Nobel,North America,2,2,0
1995,1995,Christiane Nusslein-Volhard,Germany,Medicine,3,2.5,"""For their discoveries concerning the genetic control of early embryonic development""",Nobel,Europe,,,
2004,2004,Linda B. Buck,United States,Medicine,3,2.5,"""For their discoveries of odorant receptorsand the organization of the olfactory system""",Nobel,North America,0,0,0
2009,2005,Carol W. Greider,United States,Medicine,3,2.5,"""For the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",Nobel,North America,1,1,0
2008,2006,Francoise Barre-Sinoussi,France,Medicine,3,2.5,"""For their discovery of HIV, human immunodeficiency virus""",Nobel,Europe,2,2,0
