year,name,country,cat,category2,Rationale,award,continent
1905,Bertha von Suttner,Austria Hungary,Peace,10,"Honorary President of Permanent International Peace Bureau, Bern, Switzerland; Author of Lay Down Your Arms.",Nobel,Europe
1931,Jane Addams,United States,Peace,10,"Sociologist; International President, Women's International League for Peace and Freedom.",Nobel,America
1946,Emily Greene Balch,United States,Peace,10,"Formerly Professor of History and Sociology; Honorary International President, Women's International League for Peace and Freedom.",Nobel,America
1976,Betty Williams,United Kingdom,Peace,10,Peace Founder of the Northern Ireland Peace Movement (later renamed Community of Peace People),Nobel,Europe
1976,Mairead Maguire,United Kingdom,Peace,10,Founder of the Northern Ireland Peace Movement (later renamed Community of Peace People),Nobel,Europe
1979,Mother Teresa,India,Peace,10,"Leader of †Missionaries of Charity, †Calcutta.",Nobel,Asia
1982,Alva Myrdal,Sweden,Peace,10,Former Cabinet Minister; Diplomat; Writer.,Nobel,Europe
1991,Aung San Suu Kyi,Burma,Peace,10,"""for her non-violent struggle for democracy and human rights""",Nobel,Asia
1992,Rigoberta Mench√∫,Guatemala,Peace,10,"""in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",Nobel,America
1997,Jody Williams,United States,Peace,10,"""for their work for the banning and clearing of anti-personnel mines""",Nobel,America
2003,Shirin Ebadi,Iran,Peace,10,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",Nobel,Asia
2004,Wangari Maathai,Kenya,Peace,10,"""for her contribution to sustainable development, democracy and peace""",Nobel,Africa
2011,Ellen Johnson Sirleaf,Liberia,Peace,10,"""For their non-violent struggle for the safety of women and for †women's rights †to full participation in peace-building work""",Nobel,Africa
2011,Leymah Gbowee,Liberia,Peace,10,"""For their non-violent struggle for the safety of women and for †women's rights †to full participation in peace-building work""",Nobel,Africa
2011,Tawakel Karman,Yemen,Peace,10,"""For their non-violent struggle for the safety of women and for †women's rights †to full participation in peace-building work""",Nobel,Asia
2014,Malala Yousafzai,Pakistan†and†India,Peace,10,"""for their struggle against the suppression of children and young people and for the right of all children to education"".",Nobel,Asia
1911,Marie Skodowska Curie,Poland and France,Chemistry,4,"""for their struggle against the suppression of children and young people and for the right of all children to education"".",Nobel,Europe
1935,Ir√®ne Joliot-Curie,France,Chemistry,4,"""for their synthesis of new radioactive elements""",Nobel,Europe
1964,Dorothy Crowfoot Hodgkin,United Kingdom,Chemistry,4,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",Nobel,Europe
2009,Ada E. Yonath,Israel,Chemistry,4,"""for studies of the structure and function of the ribosome""",Nobel,Asia
1903,Marie Skodowska Curie,Poland and France,Physics,5,"""In recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",Nobel,Europe
1963,Maria Goeppert-Mayer,United States,Physics,5,"""for their discoveries concerning nuclear shell structure""",Nobel,America
1947,Gerty Theresa Cori,United States,Medicine,3,"""for their discovery of the course of the catalytic conversion of †glycogen""",Nobel,America
1977,Rosalyn Sussman Yalow,United States,Medicine,3,"""for the development of †radioimmunoassaysof †peptide hormones""",Nobel,America
1983,Barbara McClintock,United States,Medicine,3,"""for her discovery of mobile genetic elements""",Nobel,Europe
1986,Rita Levi-Montalcini,Italy†and United States,Medicine,3,"""for their discoveries of †growth factors""",Nobel,America
1988,Gertrude B. Elion,United States,Medicine,3,"""for their discoveries of important principles for drug treatment""",Nobel,America
1995,Christiane N√ºsslein-Volhard,Germany,Medicine,3,"""for their discoveries concerning the genetic control of early †embryonic development""",Nobel,Europe
2004,Linda B. Buck,United States,Medicine,3,"""for their discoveries of †odorant receptorsand the organization of the †olfactory system""",Nobel,America
